HD153031F,,,
,,,
Pin,Type,Name,Side
1,un,DGND,bottom
2,un,DGND,bottom
3,un,AVcc,bottom
4,un,AGND,bottom
5,un,AGND,bottom
6,un,OUT0,bottom
7,un,OUT1,bottom
8,un,OUT2,bottom
9,un,OUT3,bottom
10,un,AVcc,bottom
11,un,PHINX,bottom
12,un,PHINY,bottom
13,un,AVcc,bottom
14,un,RSC,bottom
15,un,CPS,bottom
16,un,RSVCOO,bottom
17,un,AGND,bottom
18,un,~DCERA~,bottom
19,un,~RESET~,bottom
20,un,IDLE/~SERVO~,bottom
21,un,RSENA,bottom
22,un,SCLK,bottom
23,un,SDATA,bottom
24,un,DGND,bottom
25,un,DGND,bottom
50,un,DGND,right
49,un,DGND,right
48,un,1-7 WDOUT,right
47,un,~1-7 WDOUT~,right
46,un,CLKOUT,right
45,un,RRCLK,right
44,un,~SYNCRD~,right
43,un,DVcc,right
42,un,~DLYRD~,right
41,un,~DLYCLK~,right
40,un,SRV/~RD~,right
39,un,PDRD,right
38,un,DGND,right
37,un,~ULD~,right
36,un,RG,right
35,un,AGCHOLD,right
34,un,~RX~,right
33,un,~SHORT~,right
32,un,POL,right
31,un,OSCCLK,right
30,un,~CHA~,right
29,un,~DUMP~,right
28,un,DVcc,right
27,un,DGND,right
26,un,DGND,right
75,,DGND,top
74,,DGND,top
73,,AVcc,top
72,,DIFOUTX,top
71,,FIDOUTY,top
70,,RREF,top
69,,FILOUTX,top
68,,FILOUTY,top
67,,AGND,top
66,,FC3,top
65,,FC2,top
64,un,FC1,top
63,un,FC0,top
62,un,AVcc,top
61,un,RFC,top
60,un,RFT,top
59,un,CPF,top
58,un,AGND,top
57,un,RFVCO,top
56,un,DVcc,top
55,un,WG,top
54,un,NRZRD/WD0,top
53,un,NRZRD/WD1,top
52,un,DGND,top
51,un,DGND,top
76,,DGND,left
77,,DGND,left
78,,AGND,left
79,,LININX,left
80,,LININY,left
81,,AVcc,left
82,,AGCOUTX,left
83,,AGCOUTY,left
84,,AGND,left
85,,RINX,left
86,,RINY,left
87,,VREF,left
88,,VAGC,left
89,,AVcc,left
90,,CRD1,left
91,,CRD2,left
92,,VCOM,left
93,,VSL,left
94,,VSH,left
95,,VSSH,left
96,,AGCINX,left
97,,AGCINY,left
98,,AGND,left
99,,DGND,left
100,,DGND,left
