H8329x-FP64,,,
,,,
Pin,Type,Name,Side
1,un,P5-0/TxD,bottom
2,un,P5-1/RxD,bottom
3,un,P5-2/SCK,bottom
4,un,~RES~,bottom
5,un,~NMI~,bottom
6,un,Vcc,bottom
7,un,~STBY~,bottom
8,un,Vss,bottom
9,un,XTAL,bottom
10,un,EXTAL,bottom
11,un,MD1,bottom
12,un,MD0,bottom
13,un,Avss,bottom
14,un,P7-0/AN0,bottom
15,un,P7-1/AN1,bottom
16,un,P7-2/AN2,bottom
17,un,P7-3/AN3,right
18,un,P7-4/AN4,right
19,un,P7-5/AN5,right
20,un,P7-6/AN6,right
21,un,P7-7/AN7,right
22,un,Avcc,right
23,un,P6-0/FTCI/TMCI0,right
24,un,P6-1/FTOA,right
25,un,P6-2/FTIA,right
26,un,P6-3/FTIB/TMRI0,right
27,un,P6-4/FTIC/TMO0,right
28,un,P6-5/FTID/TMCI1,right
29,un,P6-6/FTOB/TMRI1,right
30,un,P6-7/TMO1,right
31,un,Vcc,right
32,un,P2-7/A15,right
33,un,P2-6/A14,top
34,un,P2-5/A13,top
35,un,P2-4/A12,top
36,un,P2-3/A11,top
37,un,P2-2/A10,top
38,un,P2-1/A9,top
39,un,P2-0/A8,top
40,un,Vss,top
41,un,P1-7/A7,top
42,un,P1-6/A6,top
43,un,P1-5/A5,top
44,un,P1-4/A4,top
45,un,P1-3/A3,top
46,un,P1-2/A2,top
47,un,P1-1/A1,top
48,un,P1-0/A0,top
49,un,P3-0/D0,left
50,un,P3-1/D1,left
51,un,P3-2/D2,left
52,un,P3-2/D3,left
53,un,P3-4/D4,left
54,un,P3-5/D5,left
55,un,P3-6/D6,left
56,un,P3-7/D7,left
57,un,P4-0/~ADTRG~/~IRQ2~,left
58,un,P4-1/~IRQ1~,left
59,un,P4-2/~IRQ0~,left
60,un,P4-3/~RD~,left
61,un,P4-4/~WR~,left
62,un,P4-5/~AS~,left
63,un,P4-6/PHI,left
64,un,P4-7/~WAIT~,left
